Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
APSRTC - 2898,STAR LINER(NON-AC SLEEPER 2+1),18:45,02:05,07h 20m,INR 565,19 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 4916,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:45,02:15,07h 30m,INR 436,6 Seats available,1.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 2680,VENNELA (A.C. SLEEPER),19:00,02:15,07h 15m,INR 781,5 Seats available,3.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 2798,INDRA(A.C. Seater),19:15,02:30,07h 15m,INR 528,23 Seats available,2.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 2674,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:15,03:05,07h 50m,INR 436,27 Seats available,3.7,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 4972,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:20,03:20,08h 00m,INR 436,29 Seats available,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 98050,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:30,02:30,07h 00m,INR 436,32 Seats available,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 24262,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:30,02:00,06h 30m,INR 436,33 Seats available,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 2573,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),19:45,03:00,07h 15m,INR 670,30 Seats available,3.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 2563,INDRA(A.C. Seater),19:45,01:05,05h 20m,INR 528,37 Seats available,3.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 4898,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:45,03:05,07h 20m,INR 436,8 Seats available,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 2688,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:00,02:45,06h 45m,INR 436,18 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 3861,INDRA(A.C. Seater),20:00,03:00,07h 00m,INR 498,37 Seats available,3.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 2678,NIGHT RIDER (SEATER CUM SLEEPER),20:00,03:00,07h 00m,INR 595,13 Seats available,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 2786,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:00,03:45,07h 45m,INR 436,18 Seats available,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:55,06:25,08h 30m,INR 449,15 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),21:40,05:25,07h 45m,746,15 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:25,06:10,07h 45m,INR 449,13 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
AdSai RK Travels,Non A/C Seater / Sleeper (2+1),21:15,04:30,07h 15m,INR 449,7 Seats available,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:20,06:10,07h 50m,INR 579,12 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
APSRTC - 35085,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),18:30,01:25,06h 55m,INR 720,40 Seats available,3.6,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 3613,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:00,02:42,07h 42m,INR 469,27 Seats available,2.7,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 23507,INDRA(A.C. Seater),19:00,23:26,04h 26m,INR 528,18 Seats available,2.6,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 9316,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:20,04:10,07h 50m,INR 469,26 Seats available,4.2,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 35189,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),20:30,01:50,05h 20m,INR 670,15 Seats available,4.2,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 4046,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,03:40,06h 40m,INR 469,5 Seats available,3.8,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 9651,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,04:41,07h 41m,INR 469,16 Seats available,4.2,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 95544,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",21:27,05:20,07h 53m,INR 448,21 Seats available,4.0,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 9654,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:40,05:20,07h 40m,INR 469,15 Seats available,3.4,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 35179,VENNELA (A.C. SLEEPER),21:45,02:35,04h 50m,INR 781,5 Seats available,4.5,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 3916,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:45,02:50,05h 05m,INR 469,10 Seats available,4.6,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 3860,INDRA(A.C. Seater),21:45,03:59,06h 14m,INR 567,19 Seats available,3.9,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 35023,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:50,05:15,07h 25m,INR 469,12 Seats available,4.7,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 3970,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:50,04:10,06h 20m,INR 469,15 Seats available,4.3,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 38201,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:55,04:00,06h 05m,INR 469,10 Seats available,3.9,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
FRESHBUS,Electric A/C Seater (2+2),17:30,00:30,07h 00m,530,6 Seats available,4.7,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
IntrCity SmartBus,AC Sleeper (2+1),23:15,06:30,07h 15m,INR 659,18 Seats available,4.7,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
FRESHBUS,Electric A/C Seater (2+2),22:00,05:15,07h 15m,566,22 Seats available,4.6,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
AdSai RK Travels,Non A/C Seater / Sleeper (2+1),22:00,05:30,07h 30m,INR 620,13 Seats available,3.5,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
FRESHBUS,Electric A/C Seater (2+2),22:40,05:45,07h 05m,575,21 Seats available,4.6,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 2217,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:30,00:00,03h 30m,INR 281,23 Seats available,3.3,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 3104,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,02:15,05h 15m,INR 281,3 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 3189,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",21:20,01:15,03h 55m,INR 239,17 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 3326,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:57,02:00,04h 03m,INR 281,33 Seats available,3.9,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 24281,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:00,02:15,04h 15m,INR 281,1 Seat available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 23887,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",22:10,02:30,04h 20m,INR 269,2 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 3438,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:40,01:50,03h 10m,INR 281,33 Seats available,4.1,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2405,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:00,03:30,04h 30m,INR 281,34 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2851,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:30,03:50,04h 20m,INR 281,1 Seat available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 23539,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:35,04:00,04h 25m,INR 281,26 Seats available,3.7,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 3472,INDRA(A.C. Seater),23:40,03:00,03h 20m,INR 340,23 Seats available,3.7,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
SRI VIJAYA KRISHNA TOURS and TRAVELS,Non A/C Seater / Sleeper (2+1),23:59,03:30,03h 31m,INR 1999,1 Seat available,3.5,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
IntrCity SmartBus,AC Sleeper (2+1),21:40,05:50,08h 10m,INR 779,6 Seats available,4.8,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Sri Vengamamba Bus Transport (SVBT),A/C Seater / Sleeper (2+1),22:00,06:15,08h 15m,INR 820,8 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Vikram Travels,A/C Seater / Sleeper (2+1),20:30,05:30,09h 00m,INR 589,11 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:10,06:25,08h 15m,INR 419,18 Seats available,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Pspk Bus,Non A/C Seater / Sleeper (2+1),21:30,06:30,09h 00m,INR 400,14 Seats available,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
V Kaveri Travels,Scania AC Multi Axle Sleeper (2+1),21:00,05:45,08h 45m,INR 729,11 Seats available,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Kaveri Travels,NON AC Seater / Sleeper 2+1,20:50,05:30,08h 40m,INR 400,9 Seats available,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Kamakshi Tours And Travels,Non A/C Seater / Sleeper (2+1),20:25,06:00,09h 35m,INR 450,12 Seats available,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
New Slnst Travels,A/C Sleeper (2+1),21:35,05:45,08h 10m,759,20 Seats available,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
FlixBus,VE A/C Sleeper (2+1),22:00,06:30,08h 30m,INR 945.54,11 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
APSRTC - 4610,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:20,01:00,05h 40m,INR 426,30 Seats available,3.1,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5501,SAPTAGIRI EXPRESS,20:30,02:30,06h 00m,INR 296,43 Seats available,3.4,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5082,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:40,02:25,05h 45m,INR 426,24 Seats available,3.9,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5497,SAPTAGIRI EXPRESS,21:00,03:00,06h 00m,INR 296,37 Seats available,4.0,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5469,SAPTAGIRI EXPRESS,21:30,03:30,06h 00m,INR 296,42 Seats available,4.4,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5672,Express Non AC Seater 2+3,21:30,03:55,06h 25m,INR 296,35 Seats available,4.2,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5084,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:30,03:15,05h 45m,INR 426,26 Seats available,4.3,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5119,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:40,03:30,05h 50m,INR 426,27 Seats available,4.5,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5449,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:45,04:45,07h 00m,INR 426,24 Seats available,4.5,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5457,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:50,03:30,05h 40m,INR 426,31 Seats available,3.9,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5315,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:05,04:00,05h 55m,INR 426,19 Seats available,4.5,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5094,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:05,03:20,05h 15m,INR 426,17 Seats available,3.9,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5028,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:20,03:35,05h 15m,INR 426,1 Seat available,3.8,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5447,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:30,04:10,05h 40m,INR 426,26 Seats available,4.7,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 47239,Express Non AC Seater 2+3,22:30,06:00,07h 30m,INR 296,8 Seats available,2.9,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
Sri Krishna Travels,A/C Sleeper (2+1),17:35,23:30,05h 55m,INR 639,15 Seats available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),17:35,00:30,06h 55m,INR 500,19 Seats available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
Kaveri Travels,A/C Seater / Sleeper (2+1),17:45,23:30,05h 45m,INR 459,11 Seats available,3.3,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
Shyamoli Paribahan Pvt Ltd,Volvo 9600 A/C Seater/Sleeper (2+1),17:45,23:30,05h 45m,INR 400,7 Seats available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
Navayuga Travels,A/C Sleeper (2+1),17:50,22:40,04h 50m,INR 576,10 Seats available,3.3,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
Vikram Travels,A/C Seater / Sleeper (2+1),23:15,06:18,07h 03m,INR 539,11 Seats available,4.7,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Vengamamba Bus Transport (SVBT),A/C Seater / Sleeper (2+1),23:00,06:35,07h 35m,INR 1101,11 Seats available,4.6,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Vengamamba Bus Transport (SVBT),A/C Sleeper (2+1),22:30,06:05,07h 35m,INR 1190,8 Seats available,4.5,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
V Kaveri Travels,Scania AC Multi Axle Sleeper (2+1),23:20,06:15,06h 55m,INR 810,8 Seats available,4.5,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
V Kaveri Travels,NON A/C Sleeper (2+1),22:45,06:00,07h 15m,INR 700,6 Seats available,4.6,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Pspk Bus,Non A/C Seater / Sleeper (2+1),21:25,05:40,08h 15m,INR 550,4 Seats available,4.3,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Kaveri Travels,A/C Sleeper (2+1),21:50,05:55,08h 05m,INR 800,6 Seats available,4.1,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Kaveri Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),23:35,06:40,07h 05m,INR 800,18 Seats available,4.3,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Kaveri Travels,NON AC Seater / Sleeper 2+1,22:20,05:45,07h 25m,INR 500,6 Seats available,4.0,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
V Kaveri Travels,NON A/C Sleeper (2+1),22:00,05:45,07h 45m,INR 700,11 Seats available,4.2,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
